question,answer
hi,"Hi! Salam sejahtera, salam UiTM di hatiku. Saya MAR, pembantu pendaftaran anda! Ada apa yang boleh saya bantu?"
hai,"Hi! Salam sejahtera, salam UiTM di hatiku. Saya MAR, pembantu pendaftaran anda! Ada apa yang boleh saya bantu?"
hello,"Hi! Salam sejahtera, salam UiTM di hatiku. Saya MAR, pembantu pendaftaran anda! Ada apa yang boleh saya bantu?"
salam,"Hi! Salam sejahtera, salam UiTM di hatiku. Saya MAR, pembantu pendaftaran anda! Ada apa yang boleh saya bantu?"
assalammualaikum,"Hi! Salam sejahtera, salam UiTM di hatiku. Saya MAR, pembantu pendaftaran anda! Ada apa yang boleh saya bantu?"
nama apa,"Saya MAR, pembantu pendaftaran anda! Ada apa yang boleh saya bantu?"
awak siapa,"Saya MAR, pembantu pendaftaran anda! Ada apa yang boleh saya bantu?"
nama siapa,"Saya MAR, pembantu pendaftaran anda! Ada apa yang boleh saya bantu?"
apa khabar,Khabar baik! Terima kasih kerana bertanya.
apa cerita?,Khabar baik! Terima kasih kerana bertanya.
sihat ke?,Khabar baik! Terima kasih kerana bertanya.
camne kabar?,Khabar baik! Terima kasih kerana bertanya.
awak sihat tak?,Khabar baik! Terima kasih kerana bertanya.
apa news terbaru?,Khabar baik! Terima kasih kerana bertanya.
motto uitm,"Motto UiTM adalah Usaha, Taqwa, Mulia."
apa moto uitm?,"Motto UiTM adalah Usaha, Taqwa, Mulia."
slogan uitm?,"Motto UiTM adalah Usaha, Taqwa, Mulia."
cogan kata uitm apa?,"Motto UiTM adalah Usaha, Taqwa, Mulia."
ayat semangat uitm?,"Motto UiTM adalah Usaha, Taqwa, Mulia."
apa kata-kata rasmi uitm?,"Motto UiTM adalah Usaha, Taqwa, Mulia."
apakah visi uitm,"Menjadikan UiTM sebuah universiti unggul yang berteraskan kesarjanaan dan kecemerlangan akademik bagi menerajui dinamisme bumiputera dalam semua bidang profesional bertaraf dunia supaya terlahir graduan yang berdaya saing, global dan beretika."
apa visi uitm?,"Menjadikan UiTM sebuah universiti unggul yang berteraskan kesarjanaan dan kecemerlangan akademik bagi menerajui dinamisme bumiputera dalam semua bidang profesional bertaraf dunia supaya terlahir graduan yang berdaya saing, global dan beretika."
jelaskan visi uitm?,"Menjadikan UiTM sebuah universiti unggul yang berteraskan kesarjanaan dan kecemerlangan akademik bagi menerajui dinamisme bumiputera dalam semua bidang profesional bertaraf dunia supaya terlahir graduan yang berdaya saing, global dan beretika."
visi utama uitm?,"Menjadikan UiTM sebuah universiti unggul yang berteraskan kesarjanaan dan kecemerlangan akademik bagi menerajui dinamisme bumiputera dalam semua bidang profesional bertaraf dunia supaya terlahir graduan yang berdaya saing, global dan beretika."
apa halatuju uitm?,"Menjadikan UiTM sebuah universiti unggul yang berteraskan kesarjanaan dan kecemerlangan akademik bagi menerajui dinamisme bumiputera dalam semua bidang profesional bertaraf dunia supaya terlahir graduan yang berdaya saing, global dan beretika."
visi masa depan uitm?,"Menjadikan UiTM sebuah universiti unggul yang berteraskan kesarjanaan dan kecemerlangan akademik bagi menerajui dinamisme bumiputera dalam semua bidang profesional bertaraf dunia supaya terlahir graduan yang berdaya saing, global dan beretika."
apakah misi uitm,"Mempertingkatkan keilmuan dan kepakaran bumiputera dalam semua bidang menerusi penyampaian program profesional, penyelidikan serta penglibatan khidmat masyarakat yang berlandaskan kepada nilai-nilai murni dan etika keprofesionalan"
apa misi uitm?,"Mempertingkatkan keilmuan dan kepakaran bumiputera dalam semua bidang menerusi penyampaian program profesional, penyelidikan serta penglibatan khidmat masyarakat yang berlandaskan kepada nilai-nilai murni dan etika keprofesionalan"
tujuan uitm apa?,"Mempertingkatkan keilmuan dan kepakaran bumiputera dalam semua bidang menerusi penyampaian program profesional, penyelidikan serta penglibatan khidmat masyarakat yang berlandaskan kepada nilai-nilai murni dan etika keprofesionalan"
matlamat utama uitm?,"Mempertingkatkan keilmuan dan kepakaran bumiputera dalam semua bidang menerusi penyampaian program profesional, penyelidikan serta penglibatan khidmat masyarakat yang berlandaskan kepada nilai-nilai murni dan etika keprofesionalan"
misi uitm apa?,"Mempertingkatkan keilmuan dan kepakaran bumiputera dalam semua bidang menerusi penyampaian program profesional, penyelidikan serta penglibatan khidmat masyarakat yang berlandaskan kepada nilai-nilai murni dan etika keprofesionalan"
kenapa uitm diwujudkan?,"Mempertingkatkan keilmuan dan kepakaran bumiputera dalam semua bidang menerusi penyampaian program profesional, penyelidikan serta penglibatan khidmat masyarakat yang berlandaskan kepada nilai-nilai murni dan etika keprofesionalan"
apakah falsafah uitm,"Seseorang individu mampu berusaha untuk mencapai kecemerlangan melalui pemindahan ilmu serta penerapan nilai-nilai murni bagi melahirkan graduan profesional yang berperanan membangunkan diri, ilmu, masyarakat dan negara"
apa falsafah uitm?,"Seseorang individu mampu berusaha untuk mencapai kecemerlangan melalui pemindahan ilmu serta penerapan nilai-nilai murni bagi melahirkan graduan profesional yang berperanan membangunkan diri, ilmu, masyarakat dan negara"
jelaskan falsafah uitm,"Seseorang individu mampu berusaha untuk mencapai kecemerlangan melalui pemindahan ilmu serta penerapan nilai-nilai murni bagi melahirkan graduan profesional yang berperanan membangunkan diri, ilmu, masyarakat dan negara"
